Serial number;Datum UTC;Datum local time;Value;Unit;Type
VME London Tower Final Price;30/11/2023 23:00;01/12/2023 00:00;3080,56;kWh;electricity
VME London Tower Final Price;01/12/2023 00:00;01/12/2023 01:00;3081,85;kWh;electricity
VME London Tower Final Price;01/12/2023 01:00;01/12/2023 02:00;3083,24;kWh;electricity
VME London Tower Final Price;01/12/2023 02:00;01/12/2023 03:00;3084,54;kWh;electricity
VME London Tower Final Price;01/12/2023 03:00;01/12/2023 04:00;3085,75;kWh;electricity
VME London Tower Final Price;01/12/2023 04:00;01/12/2023 05:00;3087,01;kWh;electricity
VME London Tower Final Price;01/12/2023 05:00;01/12/2023 06:00;3088,3;kWh;electricity
VME London Tower Final Price;01/12/2023 06:00;01/12/2023 07:00;3090,08;kWh;electricity
VME London Tower Final Price;01/12/2023 07:00;01/12/2023 08:00;3092,28;kWh;electricity
VME London Tower Final Price;01/12/2023 08:00;01/12/2023 09:00;3098,16;kWh;electricity
VME London Tower Final Price;01/12/2023 09:00;01/12/2023 10:00;3105,3;kWh;electricity
VME London Tower Final Price;01/12/2023 10:00;01/12/2023 11:00;3112,2;kWh;electricity
VME London Tower Final Price;01/12/2023 11:00;01/12/2023 12:00;3115,82;kWh;electricity
VME London Tower Final Price;01/12/2023 12:00;01/12/2023 13:00;3119,05;kWh;electricity
VME London Tower Final Price;01/12/2023 13:00;01/12/2023 14:00;3121,53;kWh;electricity
VME London Tower Final Price;01/12/2023 14:00;01/12/2023 15:00;3124,11;kWh;electricity
VME London Tower Final Price;01/12/2023 15:00;01/12/2023 16:00;3126,57;kWh;electricity
VME London Tower Final Price;01/12/2023 16:00;01/12/2023 17:00;3129,66;kWh;electricity
VME London Tower Final Price;01/12/2023 17:00;01/12/2023 18:00;3135,38;kWh;electricity
VME London Tower Final Price;01/12/2023 18:00;01/12/2023 19:00;3141,91;kWh;electricity
VME London Tower Final Price;01/12/2023 19:00;01/12/2023 20:00;3146,48;kWh;electricity
VME London Tower Final Price;01/12/2023 20:00;01/12/2023 21:00;3149,61;kWh;electricity
VME London Tower Final Price;01/12/2023 21:00;01/12/2023 22:00;3151,45;kWh;electricity
VME London Tower Final Price;01/12/2023 22:00;01/12/2023 23:00;3152,99;kWh;electricity
VME London Tower Final Price;01/12/2023 23:00;02/12/2023 00:00;3154,47;kWh;electricity
VME London Tower Final Price;02/12/2023 00:00;02/12/2023 01:00;3155,8;kWh;electricity
VME London Tower Final Price;02/12/2023 01:00;02/12/2023 02:00;3157,14;kWh;electricity
VME London Tower Final Price;02/12/2023 02:00;02/12/2023 03:00;3158,4;kWh;electricity
VME London Tower Final Price;02/12/2023 03:00;02/12/2023 04:00;3159,61;kWh;electricity
VME London Tower Final Price;02/12/2023 04:00;02/12/2023 05:00;3160,8;kWh;electricity
VME London Tower Final Price;02/12/2023 05:00;02/12/2023 06:00;3161,99;kWh;electricity
VME London Tower Final Price;02/12/2023 06:00;02/12/2023 07:00;3163,31;kWh;electricity
VME London Tower Final Price;02/12/2023 07:00;02/12/2023 08:00;3164,66;kWh;electricity
VME London Tower Final Price;02/12/2023 08:00;02/12/2023 09:00;3166,14;kWh;electricity
VME London Tower Final Price;02/12/2023 09:00;02/12/2023 10:00;3167,76;kWh;electricity
VME London Tower Final Price;02/12/2023 10:00;02/12/2023 11:00;3169,49;kWh;electricity
VME London Tower Final Price;02/12/2023 11:00;02/12/2023 12:00;3171,25;kWh;electricity
VME London Tower Final Price;02/12/2023 12:00;02/12/2023 13:00;3172,9;kWh;electricity
VME London Tower Final Price;02/12/2023 13:00;02/12/2023 14:00;3174,4;kWh;electricity
VME London Tower Final Price;02/12/2023 14:00;02/12/2023 15:00;3175,92;kWh;electricity
VME London Tower Final Price;02/12/2023 15:00;02/12/2023 16:00;3177,48;kWh;electricity
VME London Tower Final Price;02/12/2023 16:00;02/12/2023 17:00;3179,19;kWh;electricity
VME London Tower Final Price;02/12/2023 17:00;02/12/2023 18:00;3181,11;kWh;electricity
VME London Tower Final Price;02/12/2023 18:00;02/12/2023 19:00;3183,21;kWh;electricity
VME London Tower Final Price;02/12/2023 19:00;02/12/2023 20:00;3186,33;kWh;electricity
VME London Tower Final Price;02/12/2023 20:00;02/12/2023 21:00;3188,03;kWh;electricity
VME London Tower Final Price;02/12/2023 21:00;02/12/2023 22:00;3189,57;kWh;electricity
VME London Tower Final Price;02/12/2023 22:00;02/12/2023 23:00;3191,01;kWh;electricity
VME London Tower Final Price;02/12/2023 23:00;03/12/2023 00:00;3192,43;kWh;electricity
VME London Tower Final Price;03/12/2023 00:00;03/12/2023 01:00;3193,7;kWh;electricity
VME London Tower Final Price;03/12/2023 01:00;03/12/2023 02:00;3194,99;kWh;electricity
VME London Tower Final Price;03/12/2023 02:00;03/12/2023 03:00;3196,22;kWh;electricity
VME London Tower Final Price;03/12/2023 03:00;03/12/2023 04:00;3197,48;kWh;electricity
VME London Tower Final Price;03/12/2023 04:00;03/12/2023 05:00;3198,79;kWh;electricity
VME London Tower Final Price;03/12/2023 05:00;03/12/2023 06:00;3199,95;kWh;electricity
VME London Tower Final Price;03/12/2023 06:00;03/12/2023 07:00;3201,04;kWh;electricity
VME London Tower Final Price;03/12/2023 07:00;03/12/2023 08:00;3202,15;kWh;electricity
VME London Tower Final Price;03/12/2023 08:00;03/12/2023 09:00;3203,39;kWh;electricity
VME London Tower Final Price;03/12/2023 09:00;03/12/2023 10:00;3204,69;kWh;electricity
VME London Tower Final Price;03/12/2023 10:00;03/12/2023 11:00;3206,08;kWh;electricity
VME London Tower Final Price;03/12/2023 11:00;03/12/2023 12:00;3207,51;kWh;electricity
VME London Tower Final Price;03/12/2023 12:00;03/12/2023 13:00;3208,85;kWh;electricity
VME London Tower Final Price;03/12/2023 13:00;03/12/2023 14:00;3210,1;kWh;electricity
VME London Tower Final Price;03/12/2023 14:00;03/12/2023 15:00;3211,49;kWh;electricity
VME London Tower Final Price;03/12/2023 15:00;03/12/2023 16:00;3213,01;kWh;electricity
VME London Tower Final Price;03/12/2023 16:00;03/12/2023 17:00;3214,58;kWh;electricity
VME London Tower Final Price;03/12/2023 17:00;03/12/2023 18:00;3216,3;kWh;electricity
VME London Tower Final Price;03/12/2023 18:00;03/12/2023 19:00;3219,8;kWh;electricity
VME London Tower Final Price;03/12/2023 19:00;03/12/2023 20:00;3224,26;kWh;electricity
VME London Tower Final Price;03/12/2023 20:00;03/12/2023 21:00;3227,01;kWh;electricity
VME London Tower Final Price;03/12/2023 21:00;03/12/2023 22:00;3229,33;kWh;electricity
VME London Tower Final Price;03/12/2023 22:00;03/12/2023 23:00;3230,81;kWh;electricity
VME London Tower Final Price;03/12/2023 23:00;04/12/2023 00:00;3231,9;kWh;electricity
VME London Tower Final Price;04/12/2023 00:00;04/12/2023 01:00;3233,01;kWh;electricity
VME London Tower Final Price;04/12/2023 01:00;04/12/2023 02:00;3234,19;kWh;electricity
VME London Tower Final Price;04/12/2023 02:00;04/12/2023 03:00;3235,26;kWh;electricity
VME London Tower Final Price;04/12/2023 03:00;04/12/2023 04:00;3236,28;kWh;electricity
VME London Tower Final Price;04/12/2023 04:00;04/12/2023 05:00;3237,3;kWh;electricity
VME London Tower Final Price;04/12/2023 05:00;04/12/2023 06:00;3238,5;kWh;electricity
VME London Tower Final Price;04/12/2023 06:00;04/12/2023 07:00;3239,99;kWh;electricity
VME London Tower Final Price;04/12/2023 07:00;04/12/2023 08:00;3241,68;kWh;electricity
VME London Tower Final Price;04/12/2023 08:00;04/12/2023 09:00;3243,64;kWh;electricity
VME London Tower Final Price;04/12/2023 09:00;04/12/2023 10:00;3245,94;kWh;electricity
VME London Tower Final Price;04/12/2023 10:00;04/12/2023 11:00;3248,32;kWh;electricity
VME London Tower Final Price;04/12/2023 11:00;04/12/2023 12:00;3250,64;kWh;electricity
VME London Tower Final Price;04/12/2023 12:00;04/12/2023 13:00;3252,71;kWh;electricity
VME London Tower Final Price;04/12/2023 13:00;04/12/2023 14:00;3254,52;kWh;electricity
VME London Tower Final Price;04/12/2023 14:00;04/12/2023 15:00;3256,4;kWh;electricity
VME London Tower Final Price;04/12/2023 15:00;04/12/2023 16:00;3258,25;kWh;electricity
VME London Tower Final Price;04/12/2023 16:00;04/12/2023 17:00;3260,09;kWh;electricity
VME London Tower Final Price;04/12/2023 17:00;04/12/2023 18:00;3263,14;kWh;electricity
VME London Tower Final Price;04/12/2023 18:00;04/12/2023 19:00;3266,33;kWh;electricity
VME London Tower Final Price;04/12/2023 19:00;04/12/2023 20:00;3268,36;kWh;electricity
VME London Tower Final Price;04/12/2023 20:00;04/12/2023 21:00;3270,88;kWh;electricity
VME London Tower Final Price;04/12/2023 21:00;04/12/2023 22:00;3273,66;kWh;electricity
VME London Tower Final Price;04/12/2023 22:00;04/12/2023 23:00;3275,29;kWh;electricity
VME London Tower Final Price;04/12/2023 23:00;05/12/2023 00:00;3276,5;kWh;electricity
VME London Tower Final Price;05/12/2023 00:00;05/12/2023 01:00;3277,57;kWh;electricity
VME London Tower Final Price;05/12/2023 01:00;05/12/2023 02:00;3278,66;kWh;electricity
VME London Tower Final Price;05/12/2023 02:00;05/12/2023 03:00;3279,71;kWh;electricity
VME London Tower Final Price;05/12/2023 03:00;05/12/2023 04:00;3280,74;kWh;electricity
VME London Tower Final Price;05/12/2023 04:00;05/12/2023 05:00;3281,84;kWh;electricity
VME London Tower Final Price;05/12/2023 05:00;05/12/2023 06:00;3282,98;kWh;electricity
VME London Tower Final Price;05/12/2023 06:00;05/12/2023 07:00;3284,37;kWh;electricity
VME London Tower Final Price;05/12/2023 07:00;05/12/2023 08:00;3286,07;kWh;electricity
VME London Tower Final Price;05/12/2023 08:00;05/12/2023 09:00;3289,78;kWh;electricity
VME London Tower Final Price;05/12/2023 09:00;05/12/2023 10:00;3293,62;kWh;electricity
VME London Tower Final Price;05/12/2023 10:00;05/12/2023 11:00;3297,25;kWh;electricity
VME London Tower Final Price;05/12/2023 11:00;05/12/2023 12:00;3300,82;kWh;electricity
VME London Tower Final Price;05/12/2023 12:00;05/12/2023 13:00;3304,21;kWh;electricity
VME London Tower Final Price;05/12/2023 13:00;05/12/2023 14:00;3306,03;kWh;electricity
